epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1798.97,1.65836,4.15348,1.12559,0.75891,0.09694,0.13018,0.09622,1.51797,3.88038,1.09204,1.38958e-05,1.38958e-05,1.38958e-05
119,1819.41,1.71944,4.34065,1.10466,0.75891,0.09694,0.13018,0.09622,1.51797,3.88038,1.09204,1.34932e-05,1.34932e-05,1.34932e-05
120,1841.82,1.59677,4.266,1.10735,0.75925,0.09704,0.13089,0.09643,1.5174,3.8731,1.09218,1.30906e-05,1.30906e-05,1.30906e-05
121,1862.41,1.65659,4.22396,1.11966,0.75925,0.09704,0.13089,0.09643,1.5174,3.8731,1.09218,1.2688e-05,1.2688e-05,1.2688e-05
122,1880.94,1.63735,4.19106,1.09137,0.75909,0.09757,0.13182,0.097,1.51646,3.86314,1.09128,1.22854e-05,1.22854e-05,1.22854e-05
123,1898.77,1.57828,4.21185,1.10465,0.75909,0.09757,0.13182,0.097,1.51646,3.86314,1.09128,1.18828e-05,1.18828e-05,1.18828e-05
124,1916.29,1.59381,4.27959,1.08132,0.752,0.09763,0.13308,0.09797,1.51683,3.85316,1.09145,1.14802e-05,1.14802e-05,1.14802e-05
125,1934.48,1.64156,4.37156,1.11551,0.752,0.09763,0.13308,0.09797,1.51683,3.85316,1.09145,1.10776e-05,1.10776e-05,1.10776e-05
126,1952.81,1.64285,4.18125,1.08357,0.75139,0.098,0.1343,0.09847,1.51637,3.85128,1.09062,1.0675e-05,1.0675e-05,1.0675e-05
127,1971.41,1.59054,4.26439,1.12303,0.75139,0.098,0.1343,0.09847,1.51637,3.85128,1.09062,1.02724e-05,1.02724e-05,1.02724e-05
128,1990.9,1.7102,4.22055,1.11246,0.75854,0.09841,0.13514,0.09935,1.51807,3.84959,1.09131,9.8698e-06,9.8698e-06,9.8698e-06
129,2005.95,1.61303,4.15489,1.10355,0.75854,0.09841,0.13514,0.09935,1.51807,3.84959,1.09131,9.4672e-06,9.4672e-06,9.4672e-06
130,2021.6,1.65792,4.29116,1.14381,0.75915,0.09729,0.1351,0.09947,1.51791,3.83633,1.09059,9.0646e-06,9.0646e-06,9.0646e-06
131,2036.02,1.53721,4.00856,1.09584,0.75915,0.09729,0.1351,0.09947,1.51791,3.83633,1.09059,8.662e-06,8.662e-06,8.662e-06
132,2050.44,1.62547,4.08459,1.09653,0.75153,0.09874,0.13483,0.09911,1.51761,3.82845,1.09039,8.2594e-06,8.2594e-06,8.2594e-06
133,2064.6,1.61264,4.249,1.1209,0.75153,0.09874,0.13483,0.09911,1.51761,3.82845,1.09039,7.8568e-06,7.8568e-06,7.8568e-06
