epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1865.73,1.72991,5.14938,1.15589,0.72374,0.03877,0.05016,0.03682,1.61579,4.69535,1.17804,4.10713e-05,4.10713e-05,4.10713e-05
101,1886.53,1.65434,4.95814,1.17891,0.72374,0.03877,0.05016,0.03682,1.61579,4.69535,1.17804,4.087e-05,4.087e-05,4.087e-05
102,1906.24,1.65427,4.96963,1.17108,0.72265,0.0396,0.05207,0.03812,1.6112,4.68183,1.17633,4.06687e-05,4.06687e-05,4.06687e-05
103,1926.6,1.68932,4.95197,1.14535,0.72265,0.0396,0.05207,0.03812,1.6112,4.68183,1.17633,4.04674e-05,4.04674e-05,4.04674e-05
104,1947.55,1.67071,5.03282,1.17554,0.72373,0.04031,0.05152,0.0377,1.60663,4.66768,1.17304,4.02661e-05,4.02661e-05,4.02661e-05
105,1967.15,1.6625,4.86013,1.17557,0.72373,0.04031,0.05152,0.0377,1.60663,4.66768,1.17304,4.00648e-05,4.00648e-05,4.00648e-05
106,1981.62,1.70027,4.88134,1.13764,0.72249,0.04103,0.0556,0.04066,1.60572,4.65293,1.17062,3.98635e-05,3.98635e-05,3.98635e-05
107,1997.11,1.65835,4.99104,1.11724,0.72249,0.04103,0.0556,0.04066,1.60572,4.65293,1.17062,3.96622e-05,3.96622e-05,3.96622e-05
108,2013.12,1.71933,4.82105,1.19049,0.72329,0.04279,0.05647,0.04131,1.60282,4.64013,1.16626,3.94609e-05,3.94609e-05,3.94609e-05
109,2028.85,1.67324,4.96502,1.1661,0.72329,0.04279,0.05647,0.04131,1.60282,4.64013,1.16626,3.92596e-05,3.92596e-05,3.92596e-05
110,2046.83,1.71416,5.03523,1.16805,0.72411,0.04352,0.05727,0.04222,1.60014,4.61977,1.16422,3.90583e-05,3.90583e-05,3.90583e-05
111,2074.24,1.73086,4.88786,1.16413,0.72411,0.04352,0.05727,0.04222,1.60014,4.61977,1.16422,3.8857e-05,3.8857e-05,3.8857e-05
112,2100.83,1.64466,4.74971,1.16809,0.70886,0.04425,0.05761,0.04269,1.59747,4.59427,1.16117,3.86557e-05,3.86557e-05,3.86557e-05
113,2128.03,1.66884,4.67813,1.19125,0.70886,0.04425,0.05761,0.04269,1.59747,4.59427,1.16117,3.84544e-05,3.84544e-05,3.84544e-05
114,2154.56,1.68817,4.71481,1.13689,0.71595,0.0458,0.06257,0.04667,1.59416,4.57088,1.15734,3.82531e-05,3.82531e-05,3.82531e-05
